STATION,DATE,NAME,PRCP,SNOW
USW00094789,2013-03-12,"JFK INTERNATIONAL AIRPORT, NY US",168.0,0.0
USW00094789,2013-03-13,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-14,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-15,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-16,"JFK INTERNATIONAL AIRPORT, NY US",5.0,0.0
USW00094789,2013-03-17,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-18,"JFK INTERNATIONAL AIRPORT, NY US",119.0,36.0
USW00094789,2013-03-19,"JFK INTERNATIONAL AIRPORT, NY US",117.0,0.0
USW00094789,2013-03-20,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-21,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-22,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-23,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-24,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-25,"JFK INTERNATIONAL AIRPORT, NY US",64.0,0.0
USW00094789,2013-03-26,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-27,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-28,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-29,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-30,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-03-31,"JFK INTERNATIONAL AIRPORT, NY US",30.0,0.0
USW00094789,2013-04-01,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-02,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-03,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-04,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-05,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-06,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-07,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-08,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-09,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-10,"JFK INTERNATIONAL AIRPORT, NY US",150.0,0.0
USW00094789,2013-04-11,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-12,"JFK INTERNATIONAL AIRPORT, NY US",221.0,0.0
USW00094789,2013-04-13,"JFK INTERNATIONAL AIRPORT, NY US",3.0,0.0
USW00094789,2013-04-14,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-15,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-16,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-17,"JFK INTERNATIONAL AIRPORT, NY US",3.0,0.0
USW00094789,2013-04-18,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-19,"JFK INTERNATIONAL AIRPORT, NY US",18.0,0.0
USW00094789,2013-04-20,"JFK INTERNATIONAL AIRPORT, NY US",46.0,0.0
USW00094789,2013-04-21,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-22,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-23,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-24,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-25,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-26,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-27,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-28,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-04-29,"JFK INTERNATIONAL AIRPORT, NY US",13.0,0.0
USW00094789,2013-04-30,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-01,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-02,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
USW00094789,2013-05-03,"JFK INTERNATIONAL AIRPORT, NY US",0.0,0.0
